cache_index,dataset,reference,path,scaled_subjective_score,prediction
0,clive,clive/100,/home/sergey/iqa-data/clive/LIVEC/Images/100.bmp,0.3273838450946076,0.38300907611846924
1,clive,clive/101,/home/sergey/iqa-data/clive/LIVEC/Images/101.bmp,0.7070909837093696,0.6601998805999756
2,clive,clive/102,/home/sergey/iqa-data/clive/LIVEC/Images/102.bmp,0.4637015960824973,0.4830477237701416
3,clive,clive/103,/home/sergey/iqa-data/clive/LIVEC/Images/103.bmp,0.4023567359343583,0.6990097165107727
4,clive,clive/104,/home/sergey/iqa-data/clive/LIVEC/Images/104.bmp,0.0652617274999201,0.4439355134963989
5,clive,clive/105,/home/sergey/iqa-data/clive/LIVEC/Images/105.bmp,0.4259130407121735,0.6062998175621033
6,clive,clive/106,/home/sergey/iqa-data/clive/LIVEC/Images/106.bmp,0.7358795572250552,0.6714152097702026
7,clive,clive/107,/home/sergey/iqa-data/clive/LIVEC/Images/107.bmp,0.2756656044919034,0.2829678952693939
8,clive,clive/108,/home/sergey/iqa-data/clive/LIVEC/Images/108.bmp,0.8081107424311115,0.6418370604515076
9,clive,clive/109,/home/sergey/iqa-data/clive/LIVEC/Images/109.bmp,0.5304673094117794,0.4471476972103119
10,clive,clive/10,/home/sergey/iqa-data/clive/LIVEC/Images/10.bmp,0.8930341589844136,0.6684572100639343
11,clive,clive/110,/home/sergey/iqa-data/clive/LIVEC/Images/110.bmp,0.322618523724751,0.29222407937049866
12,clive,clive/111,/home/sergey/iqa-data/clive/LIVEC/Images/111.bmp,0.5439890779401325,0.627950131893158
13,clive,clive/112,/home/sergey/iqa-data/clive/LIVEC/Images/112.bmp,0.3021925617329499,0.3594435453414917
14,clive,clive/113,/home/sergey/iqa-data/clive/LIVEC/Images/113.bmp,0.7279600201859163,0.5616812109947205
15,clive,clive/114,/home/sergey/iqa-data/clive/LIVEC/Images/114.bmp,0.2409916126871157,0.40264439582824707
16,clive,clive/115,/home/sergey/iqa-data/clive/LIVEC/Images/115.bmp,0.313146543547381,0.37863457202911377
17,clive,clive/116,/home/sergey/iqa-data/clive/LIVEC/Images/116.bmp,0.2547714151980702,0.4284542202949524
18,clive,clive/117,/home/sergey/iqa-data/clive/LIVEC/Images/117.bmp,0.7528511231736696,0.5976237654685974
19,clive,clive/118,/home/sergey/iqa-data/clive/LIVEC/Images/118.bmp,0.2596377621902195,0.4335774779319763
20,clive,clive/119,/home/sergey/iqa-data/clive/LIVEC/Images/119.bmp,0.5380970952543876,0.6539955139160156
21,clive,clive/11,/home/sergey/iqa-data/clive/LIVEC/Images/11.bmp,0.6462872393621679,0.3942956030368805
22,clive,clive/120,/home/sergey/iqa-data/clive/LIVEC/Images/120.bmp,0.172615960680582,0.3364273011684418
23,clive,clive/121,/home/sergey/iqa-data/clive/LIVEC/Images/121.bmp,0.1834585076666786,0.47829654812812805
24,clive,clive/122,/home/sergey/iqa-data/clive/LIVEC/Images/122.bmp,0.8532234866857549,0.541513204574585
25,clive,clive/123,/home/sergey/iqa-data/clive/LIVEC/Images/123.bmp,0.7176311820843887,0.6183660626411438
26,clive,clive/124,/home/sergey/iqa-data/clive/LIVEC/Images/124.bmp,0.7591631525110307,0.6229691505432129
27,clive,clive/125,/home/sergey/iqa-data/clive/LIVEC/Images/125.bmp,0.8817358296851556,0.6287268996238708
28,clive,clive/126,/home/sergey/iqa-data/clive/LIVEC/Images/126.bmp,0.5552402995031953,0.6563431024551392
29,clive,clive/127,/home/sergey/iqa-data/clive/LIVEC/Images/127.bmp,0.4269864826896732,0.41526129841804504
30,clive,clive/128,/home/sergey/iqa-data/clive/LIVEC/Images/128.bmp,0.5099726861208843,0.43826350569725037
31,clive,clive/129,/home/sergey/iqa-data/clive/LIVEC/Images/129.bmp,0.7803747641336342,0.6990563869476318
32,clive,clive/12,/home/sergey/iqa-data/clive/LIVEC/Images/12.bmp,0.1401523921456754,0.4617798328399658
33,clive,clive/130,/home/sergey/iqa-data/clive/LIVEC/Images/130.bmp,0.9345789319709332,0.6183911561965942
