flops,p50,p95,throughput,batched,peak_mb,params,metric,image_size
10325983232,6.527738645672798,8.303563203662634,2145.2485135737074,True,282.251953125,23512129,arniqa,224
8817628160,3.3970940858125687,3.4883474931120872,2234.223405991057,True,645.93310546875,151277313,liqe,224
71823609856,8.607322350144386,9.565825108438728,1318.9162141884651,True,595.4072265625,0,clipiqa,224
24143073280,9.264991618692875,10.06883904337883,1302.6892870854995,True,595.66552734375,8192,clipiqa+,224
6055401062400,320.05032803863287,321.25495010986924,2.9546779755978356,True,35346.232421875,135747530,maniqa,224
26308546752,18.398303538560867,21.60340556874871,869.075561333249,True,517.2470703125,54321834,nima,224
3628172288,1.618911512196064,2.3681206628680216,6194.945673374447,True,162.60205078125,11704897,paq2piq,224
1995184742400,105.63455894589424,138.83143318817017,4.952942995050576,True,24815.76416015625,152452265,tres,224
4857864192,1.0672099888324738,1.4084757305681703,4997.672539994775,True,188.62890625,5238562,wadiqam_nr,224
14108229760,9.676960296928883,11.020823195576668,1359.266531030139,True,548.32470703125,45196934,topiq_nr,224
14108229760,8.941033855080605,9.503085445612669,1352.0648244309996,True,548.32470703125,45196934,topiq_nr-spaq,224
17797248768,7.827401161193848,24.301312491297722,396.00004600827185,True,1022.93994140625,27125825,musiq-spaq,224
17797255680,7.853604853153229,9.498728718608614,371.8645628126692,True,1022.953125,27129290,musiq-ava,224
