cache_index,dataset,reference,split
125,kadid10k,kadid10k/i02,train
126,kadid10k,kadid10k/i02,train
127,kadid10k,kadid10k/i02,train
128,kadid10k,kadid10k/i02,train
129,kadid10k,kadid10k/i02,train
130,kadid10k,kadid10k/i02,train
131,kadid10k,kadid10k/i02,train
132,kadid10k,kadid10k/i02,train
133,kadid10k,kadid10k/i02,train
134,kadid10k,kadid10k/i02,train
135,kadid10k,kadid10k/i02,train
136,kadid10k,kadid10k/i02,train
137,kadid10k,kadid10k/i02,train
138,kadid10k,kadid10k/i02,train
139,kadid10k,kadid10k/i02,train
140,kadid10k,kadid10k/i02,train
141,kadid10k,kadid10k/i02,train
142,kadid10k,kadid10k/i02,train
143,kadid10k,kadid10k/i02,train
144,kadid10k,kadid10k/i02,train
145,kadid10k,kadid10k/i02,train
146,kadid10k,kadid10k/i02,train
147,kadid10k,kadid10k/i02,train
148,kadid10k,kadid10k/i02,train
149,kadid10k,kadid10k/i02,train
150,kadid10k,kadid10k/i02,train
151,kadid10k,kadid10k/i02,train
152,kadid10k,kadid10k/i02,train
153,kadid10k,kadid10k/i02,train
154,kadid10k,kadid10k/i02,train
155,kadid10k,kadid10k/i02,train
156,kadid10k,kadid10k/i02,train
157,kadid10k,kadid10k/i02,train
158,kadid10k,kadid10k/i02,train
159,kadid10k,kadid10k/i02,train
160,kadid10k,kadid10k/i02,train
161,kadid10k,kadid10k/i02,train
162,kadid10k,kadid10k/i02,train
163,kadid10k,kadid10k/i02,train
164,kadid10k,kadid10k/i02,train
165,kadid10k,kadid10k/i02,train
166,kadid10k,kadid10k/i02,train
167,kadid10k,kadid10k/i02,train
168,kadid10k,kadid10k/i02,train
169,kadid10k,kadid10k/i02,train
170,kadid10k,kadid10k/i02,train
171,kadid10k,kadid10k/i02,train
172,kadid10k,kadid10k/i02,train
173,kadid10k,kadid10k/i02,train
174,kadid10k,kadid10k/i02,train
175,kadid10k,kadid10k/i02,train
176,kadid10k,kadid10k/i02,train
177,kadid10k,kadid10k/i02,train
178,kadid10k,kadid10k/i02,train
179,kadid10k,kadid10k/i02,train
180,kadid10k,kadid10k/i02,train
181,kadid10k,kadid10k/i02,train
182,kadid10k,kadid10k/i02,train
183,kadid10k,kadid10k/i02,train
184,kadid10k,kadid10k/i02,train
185,kadid10k,kadid10k/i02,train
186,kadid10k,kadid10k/i02,train
187,kadid10k,kadid10k/i02,train
188,kadid10k,kadid10k/i02,train
189,kadid10k,kadid10k/i02,train
190,kadid10k,kadid10k/i02,train
191,kadid10k,kadid10k/i02,train
192,kadid10k,kadid10k/i02,train
193,kadid10k,kadid10k/i02,train
194,kadid10k,kadid10k/i02,train
195,kadid10k,kadid10k/i02,train
196,kadid10k,kadid10k/i02,train
197,kadid10k,kadid10k/i02,train
198,kadid10k,kadid10k/i02,train
199,kadid10k,kadid10k/i02,train
200,kadid10k,kadid10k/i02,train
201,kadid10k,kadid10k/i02,train
202,kadid10k,kadid10k/i02,train
203,kadid10k,kadid10k/i02,train
204,kadid10k,kadid10k/i02,train
205,kadid10k,kadid10k/i02,train
206,kadid10k,kadid10k/i02,train
207,kadid10k,kadid10k/i02,train
208,kadid10k,kadid10k/i02,train
209,kadid10k,kadid10k/i02,train
210,kadid10k,kadid10k/i02,train
211,kadid10k,kadid10k/i02,train
212,kadid10k,kadid10k/i02,train
213,kadid10k,kadid10k/i02,train
214,kadid10k,kadid10k/i02,train
215,kadid10k,kadid10k/i02,train
216,kadid10k,kadid10k/i02,train
217,kadid10k,kadid10k/i02,train
218,kadid10k,kadid10k/i02,train
219,kadid10k,kadid10k/i02,train
220,kadid10k,kadid10k/i02,train
221,kadid10k,kadid10k/i02,train
222,kadid10k,kadid10k/i02,train
223,kadid10k,kadid10k/i02,train
224,kadid10k,kadid10k/i02,train
225,kadid10k,kadid10k/i02,train
226,kadid10k,kadid10k/i02,train
227,kadid10k,kadid10k/i02,train
228,kadid10k,kadid10k/i02,train
229,kadid10k,kadid10k/i02,train
230,kadid10k,kadid10k/i02,train
231,kadid10k,kadid10k/i02,train
232,kadid10k,kadid10k/i02,train
233,kadid10k,kadid10k/i02,train
234,kadid10k,kadid10k/i02,train
235,kadid10k,kadid10k/i02,train
236,kadid10k,kadid10k/i02,train
237,kadid10k,kadid10k/i02,train
238,kadid10k,kadid10k/i02,train
239,kadid10k,kadid10k/i02,train
240,kadid10k,kadid10k/i02,train
241,kadid10k,kadid10k/i02,train
242,kadid10k,kadid10k/i02,train
243,kadid10k,kadid10k/i02,train
244,kadid10k,kadid10k/i02,train
245,kadid10k,kadid10k/i02,train
246,kadid10k,kadid10k/i02,train
247,kadid10k,kadid10k/i02,train
248,kadid10k,kadid10k/i02,train
249,kadid10k,kadid10k/i02,train
250,kadid10k,kadid10k/i03,train
251,kadid10k,kadid10k/i03,train
252,kadid10k,kadid10k/i03,train
253,kadid10k,kadid10k/i03,train
254,kadid10k,kadid10k/i03,train
255,kadid10k,kadid10k/i03,train
256,kadid10k,kadid10k/i03,train
257,kadid10k,kadid10k/i03,train
258,kadid10k,kadid10k/i03,train
259,kadid10k,kadid10k/i03,train
260,kadid10k,kadid10k/i03,train
261,kadid10k,kadid10k/i03,train
262,kadid10k,kadid10k/i03,train
263,kadid10k,kadid10k/i03,train
264,kadid10k,kadid10k/i03,train
265,kadid10k,kadid10k/i03,train
266,kadid10k,kadid10k/i03,train
267,kadid10k,kadid10k/i03,train
268,kadid10k,kadid10k/i03,train
269,kadid10k,kadid10k/i03,train
270,kadid10k,kadid10k/i03,train
271,kadid10k,kadid10k/i03,train
272,kadid10k,kadid10k/i03,train
273,kadid10k,kadid10k/i03,train
274,kadid10k,kadid10k/i03,train
275,kadid10k,kadid10k/i03,train
276,kadid10k,kadid10k/i03,train
277,kadid10k,kadid10k/i03,train
278,kadid10k,kadid10k/i03,train
279,kadid10k,kadid10k/i03,train
280,kadid10k,kadid10k/i03,train
281,kadid10k,kadid10k/i03,train
282,kadid10k,kadid10k/i03,train
283,kadid10k,kadid10k/i03,train
284,kadid10k,kadid10k/i03,train
285,kadid10k,kadid10k/i03,train
286,kadid10k,kadid10k/i03,train
287,kadid10k,kadid10k/i03,train
288,kadid10k,kadid10k/i03,train
289,kadid10k,kadid10k/i03,train
290,kadid10k,kadid10k/i03,train
291,kadid10k,kadid10k/i03,train
292,kadid10k,kadid10k/i03,train
293,kadid10k,kadid10k/i03,train
294,kadid10k,kadid10k/i03,train
295,kadid10k,kadid10k/i03,train
296,kadid10k,kadid10k/i03,train
297,kadid10k,kadid10k/i03,train
298,kadid10k,kadid10k/i03,train
299,kadid10k,kadid10k/i03,train
300,kadid10k,kadid10k/i03,train
301,kadid10k,kadid10k/i03,train
302,kadid10k,kadid10k/i03,train
303,kadid10k,kadid10k/i03,train
304,kadid10k,kadid10k/i03,train
305,kadid10k,kadid10k/i03,train
306,kadid10k,kadid10k/i03,train
307,kadid10k,kadid10k/i03,train
308,kadid10k,kadid10k/i03,train
309,kadid10k,kadid10k/i03,train
310,kadid10k,kadid10k/i03,train
311,kadid10k,kadid10k/i03,train
312,kadid10k,kadid10k/i03,train
313,kadid10k,kadid10k/i03,train
314,kadid10k,kadid10k/i03,train
315,kadid10k,kadid10k/i03,train
316,kadid10k,kadid10k/i03,train
317,kadid10k,kadid10k/i03,train
318,kadid10k,kadid10k/i03,train
319,kadid10k,kadid10k/i03,train
320,kadid10k,kadid10k/i03,train
321,kadid10k,kadid10k/i03,train
322,kadid10k,kadid10k/i03,train
